ID,Date,Value,Category,Score,Status,Quantity,Price,Region,Priority
1,2023-01-01,8270,A,28.94,Closed,731,472.77,East,Low
2,2023-01-02,1860,A,64.14,Pending,26,27.05,Central,Medium
3,2023-01-03,6390,B,18.6,Pending,251,547.76,North,Medium
4,2023-01-04,6191,A,30.27,Closed,607,628.93,North,High
5,2023-01-05,6734,A,48.6,Pending,866,981.4,South,Medium
6,2023-01-06,7265,A,42.2,Pending,712,50.38,East,High
7,2023-01-07,1466,D,10.6,Closed,615,516.98,Central,High
8,2023-01-08,5426,C,93.82,Pending,193,107.17,West,Low
9,2023-01-09,6578,B,4.43,Active,381,157.51,North,Medium
10,2023-01-10,9322,A,74.97,Closed,2,614.36,North,High
11,2023-01-11,2685,D,7.14,Pending,759,239.25,East,Low
12,2023-01-12,1769,C,46.73,Active,603,751.68,West,High
13,2023-01-13,7949,C,17.54,Closed,45,519.06,North,Medium
14,2023-01-14,3433,C,14.11,Pending,939,226.03,Central,Medium
15,2023-01-15,6311,D,12.59,Closed,3,498.85,North,Low
16,2023-01-16,6051,A,45.28,Active,930,10.87,East,High
17,2023-01-17,7420,C,51.55,Closed,848,864.11,East,Medium
18,2023-01-18,2184,D,13.34,Pending,449,22.55,West,Medium
19,2023-01-19,5555,D,97.94,Active,576,16.94,North,Medium
20,2023-01-20,4385,B,25.78,Closed,135,615.39,West,Medium
21,2023-01-21,7396,D,45.88,Pending,291,973.79,North,Medium
22,2023-01-22,9666,C,21.63,Pending,278,857.37,South,High
23,2023-01-23,3558,C,49.39,Active,176,259.5,North,High
24,2023-01-24,8849,D,75.6,Active,928,204.7,East,Low
25,2023-01-25,3047,C,52.11,Closed,282,629.85,East,Medium
26,2023-01-26,3747,D,28.56,Pending,120,824.41,South,Low
27,2023-01-27,1189,C,24.84,Active,774,368.46,North,High
28,2023-01-28,3734,B,75.89,Pending,174,438.03,North,High
29,2023-01-29,4005,A,11.82,Closed,439,124.33,East,Low
30,2023-01-30,5658,B,37.0,Active,459,161.3,South,High
31,2023-01-31,2899,B,15.15,Closed,991,572.67,East,Medium
32,2023-02-01,8734,A,25.8,Closed,630,111.63,South,Medium
33,2023-02-02,2267,C,15.27,Active,951,210.03,East,High
34,2023-02-03,2528,A,88.68,Closed,341,242.33,Central,Medium
35,2023-02-04,4556,D,73.19,Pending,697,449.49,North,Low
36,2023-02-05,4890,A,56.09,Active,755,55.16,West,High
37,2023-02-06,9838,B,22.44,Pending,726,504.77,Central,Low
38,2023-02-07,6393,A,51.02,Closed,121,929.39,East,High
39,2023-02-08,9792,C,52.08,Active,575,34.22,South,Medium
40,2023-02-09,9433,B,59.04,Pending,897,634.68,West,Medium
41,2023-02-10,8513,D,6.01,Pending,661,837.48,South,Medium
42,2023-02-11,3612,C,97.29,Pending,493,319.34,South,Medium
43,2023-02-12,8041,B,46.54,Pending,276,140.2,North,Low
44,2023-02-13,7235,D,92.65,Pending,969,52.91,East,Low
45,2023-02-14,6486,C,0.98,Closed,987,647.46,North,High
46,2023-02-15,8099,D,24.76,Closed,29,556.71,South,Medium
47,2023-02-16,1775,A,10.4,Closed,811,237.0,North,Medium
48,2023-02-17,9226,A,76.96,Closed,737,833.3,Central,Low
49,2023-02-18,4152,D,32.01,Closed,685,738.15,South,Medium
50,2023-02-19,2585,A,84.05,Closed,244,283.66,South,Medium
51,2023-02-20,4943,D,83.24,Closed,321,755.83,Central,Medium
52,2023-02-21,8555,C,66.78,Pending,643,252.54,South,Low
53,2023-02-22,4073,B,66.58,Closed,352,678.51,West,Low
54,2023-02-23,2021,D,70.02,Pending,532,127.36,West,Medium
55,2023-02-24,4843,B,67.38,Active,81,695.32,East,Low
56,2023-02-25,8989,B,38.69,Closed,293,246.39,East,Medium
57,2023-02-26,7873,D,68.28,Pending,294,576.74,North,High
58,2023-02-27,6675,A,89.74,Active,497,180.74,North,Medium
59,2023-02-28,1161,C,33.26,Active,458,728.71,Central,Medium
60,2023-03-01,5297,B,94.49,Pending,747,70.27,Central,High
61,2023-03-02,1995,C,1.36,Pending,813,173.76,South,Medium
62,2023-03-03,8629,B,34.91,Pending,733,192.3,East,Medium
63,2023-03-04,2016,D,13.21,Closed,682,50.93,East,High
64,2023-03-05,8869,A,12.66,Active,558,747.56,East,Medium
65,2023-03-06,7439,C,81.54,Closed,60,981.14,East,High
66,2023-03-07,8892,B,91.84,Closed,608,780.61,North,High
67,2023-03-08,7863,D,77.78,Closed,781,862.03,West,Medium
68,2023-03-09,8916,D,97.66,Active,543,15.95,Central,Medium
69,2023-03-10,9529,B,21.63,Active,380,126.69,Central,Medium
70,2023-03-11,1878,B,14.08,Active,324,563.43,East,High
71,2023-03-12,5887,B,52.07,Pending,628,978.09,East,High
72,2023-03-13,5859,A,82.9,Closed,62,664.11,North,Low
73,2023-03-14,7331,B,3.98,Pending,945,380.4,North,High
74,2023-03-15,9571,B,99.56,Pending,146,154.69,Central,Low
75,2023-03-16,9684,A,60.22,Closed,843,161.31,East,High
76,2023-03-17,8208,D,97.89,Active,362,369.13,East,Medium
77,2023-03-18,6276,B,36.51,Closed,53,716.67,Central,Medium
78,2023-03-19,3062,C,45.8,Pending,402,41.5,North,Medium
79,2023-03-20,1064,D,75.24,Active,563,853.66,Central,Low
80,2023-03-21,9006,C,79.27,Active,681,942.14,North,Medium
81,2023-03-22,3568,B,23.3,Pending,869,889.93,North,High
82,2023-03-23,6463,A,92.98,Active,993,913.9,North,Medium
83,2023-03-24,3027,A,86.74,Active,869,25.19,East,Medium
84,2023-03-25,3695,A,1.82,Closed,707,978.01,Central,High
85,2023-03-26,6258,B,12.86,Closed,449,372.69,North,Low
86,2023-03-27,6618,B,49.61,Pending,83,870.59,West,Medium
87,2023-03-28,7736,C,46.1,Pending,379,194.94,North,Low
88,2023-03-29,1391,A,70.84,Pending,646,452.06,North,Low
89,2023-03-30,6892,B,8.97,Active,458,53.72,North,Medium
90,2023-03-31,4561,D,64.49,Pending,933,49.68,South,High
91,2023-04-01,7184,B,61.64,Closed,780,943.84,West,Low
92,2023-04-02,4099,B,23.36,Active,81,812.5,East,High
93,2023-04-03,7278,D,54.24,Pending,731,534.53,Central,Low
94,2023-04-04,9392,A,22.22,Active,514,530.2,Central,Medium
95,2023-04-05,4104,D,14.69,Active,309,751.27,Central,High
96,2023-04-06,8215,A,57.31,Active,921,348.25,East,High
97,2023-04-07,3454,D,97.75,Pending,763,764.25,North,Low
98,2023-04-08,9996,C,23.69,Active,494,490.16,West,High
99,2023-04-09,3731,A,35.53,Active,236,641.54,Central,Medium
100,2023-04-10,9154,B,25.66,Active,668,965.18,South,High
101,2023-04-11,6056,C,26.65,Closed,941,476.6,South,High
102,2023-04-12,9110,A,40.42,Pending,37,424.22,West,Low
103,2023-04-13,4840,A,70.19,Closed,741,906.69,Central,High
104,2023-04-14,2028,A,3.88,Active,657,903.55,North,High
105,2023-04-15,8385,D,95.71,Active,325,992.49,Central,Medium
106,2023-04-16,1502,A,4.63,Closed,56,555.35,North,High
107,2023-04-17,7910,B,88.13,Active,121,350.82,Central,Medium
108,2023-04-18,7938,A,89.44,Closed,314,247.99,South,High
109,2023-04-19,5488,B,52.45,Active,211,43.76,East,High
110,2023-04-20,1206,B,13.7,Active,772,729.46,West,Medium
111,2023-04-21,6134,B,56.51,Active,103,241.14,North,High
112,2023-04-22,6977,C,62.86,Active,439,610.57,East,High
113,2023-04-23,8721,B,85.78,Pending,817,917.43,North,Low
114,2023-04-24,8035,D,55.09,Pending,747,950.71,West,Low
115,2023-04-25,2484,A,41.07,Pending,38,14.37,East,High
116,2023-04-26,8858,D,83.83,Closed,813,323.9,East,Medium
117,2023-04-27,1863,C,98.1,Closed,620,839.0,West,Low
118,2023-04-28,3790,A,64.51,Closed,414,541.08,West,High
119,2023-04-29,8408,B,87.44,Closed,224,809.43,North,Low
120,2023-04-30,9755,A,59.87,Pending,293,854.79,East,High
121,2023-05-01,6116,C,68.98,Closed,696,448.2,West,Medium
122,2023-05-02,7019,C,68.82,Closed,155,365.39,North,Low
123,2023-05-03,2757,D,70.48,Closed,32,460.88,Central,Low
124,2023-05-04,8574,A,32.1,Active,234,656.27,West,High
125,2023-05-05,7374,A,57.57,Closed,907,373.49,East,Medium
126,2023-05-06,7892,A,59.41,Active,489,777.24,Central,Medium
127,2023-05-07,2678,D,31.51,Closed,762,904.95,West,Medium
128,2023-05-08,4242,C,34.99,Closed,570,289.49,South,High
129,2023-05-09,5636,B,76.22,Active,333,965.34,East,Medium
130,2023-05-10,2059,A,58.27,Closed,675,626.5,East,Medium
131,2023-05-11,7668,D,14.92,Active,17,879.39,North,High
132,2023-05-12,4157,D,83.76,Closed,414,112.88,South,Medium
133,2023-05-13,6915,B,88.31,Closed,766,258.98,West,Medium
134,2023-05-14,3693,C,46.61,Active,658,327.81,South,Low
135,2023-05-15,4627,A,20.89,Pending,741,309.79,West,Medium
136,2023-05-16,6450,A,94.76,Active,240,180.14,North,Low
137,2023-05-17,2663,D,88.23,Pending,286,869.52,Central,Low
138,2023-05-18,6592,C,24.44,Active,346,424.43,South,Low
139,2023-05-19,8392,A,9.56,Pending,375,963.5,East,Low
140,2023-05-20,2306,B,44.07,Closed,16,587.64,West,Medium
141,2023-05-21,7776,C,67.64,Pending,587,147.01,South,Low
142,2023-05-22,6864,C,17.54,Closed,950,550.45,West,Low
143,2023-05-23,8526,D,51.32,Active,260,993.61,South,Low
144,2023-05-24,9901,D,42.54,Pending,895,569.52,East,Medium
145,2023-05-25,6575,A,89.06,Closed,361,11.85,West,High
146,2023-05-26,6530,D,42.96,Active,399,933.75,West,Low
147,2023-05-27,5413,C,53.38,Pending,460,242.55,Central,Low
148,2023-05-28,4748,A,95.53,Closed,923,691.64,North,High
149,2023-05-29,1663,A,29.97,Pending,516,519.93,South,Medium
150,2023-05-30,2998,C,28.9,Pending,931,332.18,East,Low
151,2023-05-31,8994,A,79.96,Closed,763,289.81,Central,Medium
152,2023-06-01,2495,B,27.75,Closed,85,929.47,Central,Low
153,2023-06-02,4304,B,83.19,Active,63,912.81,North,Medium
154,2023-06-03,4763,A,9.55,Closed,100,518.0,East,Medium
155,2023-06-04,6232,D,11.13,Closed,834,265.91,South,Low
156,2023-06-05,2853,B,90.13,Pending,755,111.32,West,Low
157,2023-06-06,7585,A,54.08,Closed,295,165.01,North,Medium
158,2023-06-07,2291,B,71.88,Pending,924,527.03,West,Low
159,2023-06-08,4581,D,22.53,Pending,162,314.75,Central,High
160,2023-06-09,8554,C,16.63,Closed,929,51.65,West,Medium
161,2023-06-10,8280,A,83.5,Closed,178,460.62,South,High
162,2023-06-11,2636,A,35.86,Closed,444,748.73,South,Low
163,2023-06-12,4696,A,45.5,Closed,328,892.78,West,High
164,2023-06-13,1698,A,2.8,Active,328,589.43,West,High
165,2023-06-14,5737,A,38.59,Pending,764,726.06,North,Medium
166,2023-06-15,1854,A,77.04,Active,42,370.43,South,High
167,2023-06-16,9164,D,82.13,Active,242,501.28,West,Low
168,2023-06-17,6855,C,69.88,Pending,342,732.33,East,Medium
169,2023-06-18,8392,D,69.22,Active,91,730.38,North,Low
170,2023-06-19,7528,D,50.62,Closed,28,430.28,North,Low
171,2023-06-20,6249,C,53.83,Closed,459,548.23,North,High
172,2023-06-21,6172,D,74.26,Closed,667,924.62,North,Low
173,2023-06-22,2707,B,24.73,Closed,631,635.68,West,High
174,2023-06-23,6791,D,23.15,Pending,385,646.15,Central,Medium
175,2023-06-24,6535,A,94.99,Closed,487,786.77,East,Medium
176,2023-06-25,5931,B,2.77,Pending,220,124.07,Central,High
177,2023-06-26,4510,B,13.95,Pending,859,527.66,Central,Medium
178,2023-06-27,1202,C,57.03,Pending,264,959.84,West,Medium
179,2023-06-28,5218,D,73.78,Pending,121,368.04,North,Medium
180,2023-06-29,9958,D,53.79,Active,46,301.98,North,Medium
181,2023-06-30,5389,B,35.51,Active,280,605.2,West,High
182,2023-07-01,3327,D,97.8,Closed,115,228.91,West,High
